ticker,company_name,sector,graham_status,graham_category,bazin_status,fcd_status,dividend_years,annual_financial_years,quarterly_periods,field_alerts,endpoint_errors
PETR4,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
VALE3,VALE S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
ITUB4,ITAÚ UNIBANCO HOLDING S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.cash:zero|fcd.debt:zero|fcd.scaleAndCurrency:missing,
BBAS3,BANCO DO BRASIL S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
WEGE3,WEG SA,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
PRIO3,PRIO S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
TAEE11,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
CMIG4,CIA ENERG MINAS GERAIS - CEMIG,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
EMBR3,EMBRAER S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
SUZB3,SUZANO S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
B3SA3,"B3 S.A. - BRASIL, BOLSA, BALCÃO",,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
AXIA3,AXIA ENERGIA S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
PETR3,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
BBDC4,BANCO BRADESCO S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
SBSP3,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
ITSA4,ITAUSA S.A.,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.scaleAndCurrency:missing,
BPAC11,BANCO BTG PACTUAL S/A,,completo,complete,parcial,parcial,0,0,0,bazin.dividendHistory:missing|bazin.jcpHistory:missing|bazin.currency:missing|bazin.annualSummary:missing|bazin.dividendYieldCurrent:missing|fcd.annualHistory:missing|fcd.quarterlyHistory:missing|fcd.netRevenue:missing|fcd.operatingCashFlow:missing|fcd.capex:missing|fcd.cash:zero|fcd.debt:zero|fcd.scaleAndCurrency:missing,
